id,cable_id,description,name,color,cost (millions),Lit,Max,coordinates,length,rfs,year,owners,url
southern-cross-cable-network-sccn,1009,"[{""landing_point_id"":6097,""latlon"":""-33.913939,151.196199"",""name"":""Alexandria, Australia""},{""landing_point_id"":5781,""latlon"":""-33.761205,151.273933"",""name"":""Brookvale, Australia""},{""landing_point_id"":3649,""latlon"":""45.824792,-123.811189"",""name"":""Hillsboro, Oregon, United States""},{""landing_point_id"":5753,""latlon"":""21.354003,-158.130558"",""name"":""Kahe Point, Hawaii, United States""},{""landing_point_id"":5751,""latlon"":""35.366692,-120.847226"",""name"":""Morro Bay, California, United States""},{""landing_point_id"":5752,""latlon"":""20.023145,-155.822063"",""name"":""Spencer Beach, Hawaii, United States""},{""landing_point_id"":4268,""latlon"":""-18.123810,178.437397"",""name"":""Suva, Fiji""},{""landing_point_id"":5918,""latlon"":""-36.787961,174.767867"",""name"":""Takapuna, New Zealand""},{""landing_point_id"":5919,""latlon"":""-36.788840,174.623336"",""name"":""Whenuapai, New Zealand""}]",Southern Cross Cable Network (SCCN),#4fc1af,,,,"<MultiGeometry><LineString><coordinates>-155.822032175742,20.0232887344144,0 -158.130575462223,21.3540726038295,0</coordinates></LineString><LineString><coordinates>-123.811166180664,45.8252928178853,0 -139.250217743495,43.5490078638924,0 -147.027800124408,43.5490078638924,0 -158.130575462223,21.3540726038295,0 -179.999944735381,-16.5404971298366,0</coordinates></LineString><LineString><coordinates>-179.999944735381,-27.786684958391,0 -155.8563583233,20.0037440865784,0 -147.027800124408,24.2722645316895,0 -139.250217743495,24.2722645316895,0 -120.847203436613,35.3670795258733,0</coordinates></LineString><LineString><coordinates>179.999946721693,-16.5265479838502,0 178.971041200579,-18.2699286174641,0 178.386275989832,-18.0748011553083,0 178.481197797589,-18.7627483555047,0 151.27399050893,-33.7611574234055,0</coordinates></LineString><LineString><coordinates>151.196256188997,-33.9135730319258,0 151.822622932773,-34.1859263594301,0 173.865380754977,-36.998291507836,0 174.623388030497,-36.7875742336701,0</coordinates></LineString><LineString><coordinates>174.76791917811,-36.7878088604677,0 179.999946721693,-27.7737248789329,0</coordinates></LineString></MultiGeometry>","30,500 km",Nov-00,2000,"Spark New Zealand,  SingTel Optus,  Verizon",http://www.southerncrosscables.com
st-thomas-st-croix-system,1756,"[{""landing_point_id"":13401,""latlon"":""18.328224,-64.943786"",""name"":""Banana Bay, VI, United States""},{""landing_point_id"":13398,""latlon"":""18.342384,-64.975329"",""name"":""Brewer's Bay, VI, United States""},{""landing_point_id"":13396,""latlon"":""17.746681,-64.703161"",""name"":""Christiansted, VI, United States""},{""landing_point_id"":13400,""latlon"":""18.312794,-64.957800"",""name"":""Flamingo Bay, VI, United States""},{""landing_point_id"":13397,""latlon"":""17.712404,-64.881530"",""name"":""Frederiksted, VI, United States""},{""landing_point_id"":13399,""latlon"":""18.322462,-64.843200"",""name"":""Great Bay, VI, United States""},{""landing_point_id"":13402,""latlon"":""18.335743,-64.948034"",""name"":""Vila Olga, VI, United States""}]",St. Thomas-St. Croix System,#9ea0a2,,,,"<MultiGeometry><LineString><coordinates>-64.975270360565,18.3424025877838,0 -64.9480242861163,18.3357284514771,0 -64.9438250703411,18.3282197401497,0 -64.9577899041983,18.3129232088244,0 -64.8972919001806,18.2926184524485,0 -64.8431415479162,18.322472111216,0 -64.6845479102655,17.7822795075188,0 -64.703200240802,17.74666057923,0 -64.703200240802,17.7822795075188,0 -64.7217549151577,17.80134155258,0 -64.900075101334,17.80134155258,0 -64.900075101334,17.7480557098661,0 -64.8814715988879,17.7124299708851,0 -64.9186297756897,17.7480557098661,0 -64.9938738630111,18.3246043184238,0 -64.975270360565,18.3424025877838,0</coordinates></LineString></MultiGeometry>",183 km,13-Jul,2013,"Virgin Islands Next Generation Networks,  Inc.",http://www.vingn.com
subcan-link-1,1777,"[{""landing_point_id"":14645,""latlon"":""28.377242,-16.362364"",""name"":""Las Caletillas, Spain""},{""landing_point_id"":14646,""latlon"":""28.040621,-15.408800"",""name"":""Piedra Santa, Spain""}]",Subcan Link 1,#ffd633,,,,"<MultiGeometry><LineString><coordinates>-16.3623165171876,28.3776222680883,0 -15.2880985281736,28.3885337060328,0 -15.1800907921873,28.3885337060328,0 -15.1800907921873,28.0603586616413,0 -15.4087527395761,28.0409671005118,0</coordinates></LineString></MultiGeometry>",143 km,2-May,2002,Cable Submarine de Canarias,
subcan-link-2,1778,"[{""landing_point_id"":14645,""latlon"":""28.377242,-16.362364"",""name"":""Las Caletillas, Spain""},{""landing_point_id"":14646,""latlon"":""28.040621,-15.408800"",""name"":""Piedra Santa, Spain""}]",Subcan Link 2,#6c70b5,,,,"<MultiGeometry><LineString><coordinates>-16.3623165171876,28.3776222680883,0 -15.2880985281736,28.4841110693231,0 -15.072083056201,28.4841110693231,0 -15.072083056201,28.0603586616413,0 -15.4087527395761,28.0409671005118,0</coordinates></LineString></MultiGeometry>",136 km,2-May,2002,Cable Submarine de Canarias,
suriname-guyana-submarine-cable-system-sg-scs,1612,"[{""landing_point_id"":8838,""latlon"":""10.686137,-61.650819"",""name"":""Chaguaramas, Trinidad and Tobago""},{""landing_point_id"":3904,""latlon"":""6.804108,-58.154922"",""name"":""Georgetown, Guyana""},{""landing_point_id"":9669,""latlon"":""5.886628,-56.375382"",""name"":""Totness, Suriname""}]",Suriname-Guyana Submarine Cable System (SG-SCS),#c4b830,,,,"<MultiGeometry><LineString><coordinates>-56.3753741090621,5.88661874681644,0 -55.6099449637993,7.38205877540358,0 -57.2794750310886,8.32294556379239,0 -60.5565234908467,10.1631059039996,0 -60.7144335352317,10.8307419598557,0 -60.9224412003772,10.9611600032197,0 -61.5426556047615,10.9611600032197,0 -61.650809825019,10.6862568872039,0</coordinates></LineString><LineString><coordinates>-58.1548650359541,6.8042911271978,0 -57.2794750310886,8.32294556379239,0</coordinates></LineString></MultiGeometry>","1,249 km",10-Jul,2010,"Guyana Telephone and Telegraph (GT&T),  Telesur",
svalbard-undersea-cable-system,1651,"[{""landing_point_id"":9671,""latlon"":""68.735035,16.553197"",""name"":""Breivika, Norway""},{""landing_point_id"":9672,""latlon"":""78.218527,15.648803"",""name"":""Longyearbyen, Svalbard, Norway""}]",Svalbard Undersea Cable System,#0982c5,,,,"<MultiGeometry><LineString><coordinates>15.557778057818,78.2219499224502,0 13.8987948580573,78.1807358822248,0 12.9266275779997,78.0079824757841,0 16.1672502823121,70.134246569914,0 16.5124648815089,68.706903295619,0 16.545375014445,70.134246569914,0 13.3586585219449,77.9798577586064,0 14.0878572241237,78.1196935952885,0 15.557778057818,78.2219499224502,0</coordinates></LineString></MultiGeometry>","2,714 km",4-Jan,2004,Telenor,
sweden-estonia-ee-s-1,1221,"[{""landing_point_id"":5828,""latlon"":""59.000860,22.738057"",""name"":""Kärdla, Estonia""},{""landing_point_id"":5952,""latlon"":""59.822735,18.764621"",""name"":""Stavsnas, Sweden""},{""landing_point_id"":3089,""latlon"":""59.436212,24.752412"",""name"":""Tallinn, Estonia""}]",Sweden-Estonia (EE-S 1),#91a34b,,,,"<MultiGeometry><LineString><coordinates>24.752498106692,59.4364014085803,0 24.2959554613611,59.5706814660597,0 22.8045502678866,59.2378614447088,0 22.7363862536746,59.0000803403386,0 18.7646117235669,59.8228203593843,0</coordinates></LineString></MultiGeometry>",240 km,Jun-95,1995,"TeliaSonera,  Elion,  GN Great Nordic",
sweden-finland-4-sfs-4,1207,"[{""landing_point_id"":6171,""latlon"":""59.759649,18.701340"",""name"":""Norrtalge, Sweden""},{""landing_point_id"":3126,""latlon"":""60.449297,22.259249"",""name"":""Turku, Finland""}]",Sweden-Finland 4 (SFS-4),#f04230,,,,"<MultiGeometry><LineString><coordinates>18.7013305183959,59.7597545298591,0 19.7817008468014,59.7597545298591,0 21.1788678257852,59.9113089451648,0 22.2592381541908,60.4494063270009,0</coordinates></LineString></MultiGeometry>",254 km,Dec-93,1993,"TeliaSonera,  Elisa Corporation",http://www.telia.se
sweden-finland-6,1340,"[{""landing_point_id"":6083,""latlon"":""60.306621,22.301046"",""name"":""Pargas, Finland""},{""landing_point_id"":3063,""latlon"":""59.332208,18.062864"",""name"":""Stockholm, Sweden""}]",Sweden-Finland 6,#895c3c,,,,"<MultiGeometry><LineString><coordinates>18.0627567520176,59.3323082610704,0 19.1192989723031,59.5620989892296,0 22.0629492307437,59.9030093665148,0 22.298593595061,60.3057559792035,0</coordinates></LineString></MultiGeometry>",175 km,Jan-98,1998,TeliaSonera,
sweden-finland-link-sfl,1208,"[{""landing_point_id"":5830,""latlon"":""60.113848,19.937863"",""name"":""Mariehamn, Finland""},{""landing_point_id"":6000,""latlon"":""59.983379,18.816575"",""name"":""Väddö, Sweden""}]",Sweden-Finland Link (SFL),#0982c5,,,,"<MultiGeometry><LineString><coordinates>19.9377554237509,60.1140379734951,0 18.8166624679437,59.983469312507,0</coordinates></LineString></MultiGeometry>",142 km,1994,1994,"TeliaSonera,  Elisa Corporation",
sweden-latvia,1364,"[{""landing_point_id"":7412,""latlon"":""57.862970,19.055344"",""name"":""Farosund, Sweden""},{""landing_point_id"":3063,""latlon"":""59.332208,18.062864"",""name"":""Stockholm, Sweden""},{""landing_point_id"":5897,""latlon"":""57.389533,21.569991"",""name"":""Ventspils, Latvia""}]",Sweden-Latvia,#b2703f,,,,"<MultiGeometry><LineString><coordinates>21.570078486148,57.3897219241417,0 19.0418576209133,57.8629804561025,0 18.5750610765964,59.1410986989855,0 18.3539674832212,59.2693146168604,0 18.0627567520176,59.3323082610704,0</coordinates></LineString></MultiGeometry>",391 km,5-Jan,2005,Latvia State Radio and Television Centre,http://www.lvrtc.lv
taba-aqaba,1806,"[{""landing_point_id"":4363,""latlon"":""29.531734,35.006997"",""name"":""Aqaba, Jordan""},{""landing_point_id"":10498,""latlon"":""29.492574,34.894887"",""name"":""Taba, Egypt""}]",Taba-Aqaba,#f04230,,,,"<MultiGeometry><LineString><coordinates>34.894873734238,29.4925780546397,0 35.0070806859995,29.5319262602681,0</coordinates></LineString></MultiGeometry>",n.a.,n.a.,0,n.a.,
tagide-2,1128,"[{""landing_point_id"":3119,""latlon"":""47.811315,-4.338688"",""name"":""Penmarch, France""},{""landing_point_id"":5934,""latlon"":""38.442667,-9.102748"",""name"":""Sesimbra, Portugal""}]",TAGIDE 2,#f04230,,,,"<MultiGeometry><LineString><coordinates>-4.33854573806456,47.8110198894142,0 -9.98097338154089,44.8698150996845,0 -9.98102220963129,38.8864751650898,0 -9.10275134743162,38.4430759341506,0</coordinates></LineString></MultiGeometry>","1,586 km",1996,1996,AT&T,
taiwan-strait-express-1-tse-1,1636,"[{""landing_point_id"":8620,""latlon"":""26.071091,119.303245"",""name"":""Fuzhou, China""},{""landing_point_id"":5982,""latlon"":""25.181345,121.462619"",""name"":""Tanshui, Taiwan""}]",Taiwan Strait Express-1 (TSE)-1,#f04230,,,,"<MultiGeometry><LineString><coordinates>119.292470196189,26.0717970777713,0 121.462585846359,25.181714657129,0</coordinates></LineString></MultiGeometry>",260 km,13-Jan,2013,"China Unicom,  Far Eastone Telecommunications,  Taiwan Mobile,  China Telecom,  Chunghwa Telecom,  China Mobile",
tamares-north,1713,"[{""landing_point_id"":3905,""latlon"":""32.811420,34.998793"",""name"":""Haifa, Israel""},{""landing_point_id"":5811,""latlon"":""34.766399,32.466568"",""name"":""Yeroskipos, Cyprus""}]",Tamares North,#b3b5b7,,,,"<MultiGeometry><LineString><coordinates>32.4666527981625,34.7665718254425,0 32.4666527981625,34.4090512835211,0 34.2425304463641,32.811580103882,0 34.9987799106299,32.811580103882,0</coordinates></LineString></MultiGeometry>",345 km,12-Jan,2012,Tamares UK Group,http://www.tamarestelecom.com
tampnet-offshore-foc-network,1203,"[{""landing_point_id"":3537,""latlon"":""57.153791,-2.106804"",""name"":""Aberdeen, United Kingdom""},{""landing_point_id"":3059,""latlon"":""55.676155,12.569312"",""name"":""Copenhagen, Denmark""},{""landing_point_id"":7648,""latlon"":""58.922540,2.685137"",""name"":""Draupner, Norway""},{""landing_point_id"":7649,""latlon"":""56.549104,3.210039"",""name"":""Ekofisk, Norway""},{""landing_point_id"":3250,""latlon"":""55.465218,8.456912"",""name"":""Esbjerg, Denmark""},{""landing_point_id"":5923,""latlon"":""59.279278,5.524393"",""name"":""Kårstø, Norway""},{""landing_point_id"":3084,""latlon"":""52.471371,1.729180"",""name"":""Lowestoft, United Kingdom""},{""landing_point_id"":7651,""latlon"":""54.266390,2.333477"",""name"":""Murdoch, Norway""},{""landing_point_id"":3062,""latlon"":""59.912286,10.749977"",""name"":""Oslo, Norway""},{""landing_point_id"":7647,""latlon"":""57.111115,2.847246"",""name"":""Ula, Norway""},{""landing_point_id"":7650,""latlon"":""56.278108,3.395293"",""name"":""Valhala, Norway""}]",Tampnet Offshore FOC Network,#4fc1af,,,,"<MultiGeometry><LineString><coordinates>10.749968963715,59.9122881096504,0 10.5475277008763,59.7876292435449,0 10.5994807890723,59.6436799323277,0 10.6007503194229,59.5164044035391,0 10.529851932148,59.4375186867448,0 10.6052425037406,59.2951294423837,0 11.1125663630977,57.9386925255166,0 11.5375660620239,57.336528028081,0 12.2137374580177,56.5708007320276,0 12.3595381359811,56.2626279628333,0 12.6144207679199,56.0708283264388,0 12.6943035238302,55.9462937380637,0 12.7522136390561,55.8044840123038,0 12.5693036123813,55.6761449600794,0 8.45690418189366,55.4652291120421,0 9.06403265804815,56.8123111718638,0 9.06256781533586,57.145423874864,0 6.72506947124162,57.5584817955582,0 5.18669165479289,58.5756267057962,0 5.26735566014976,59.040595484444,0 5.4434297541672,59.1590013189099,0 5.52448438424735,59.2792687377747,0</coordinates></LineString><LineString><coordinates>-2.10680903779779,57.1537936608001,0 -0.332445060398891,56.8034899972136,0 3.04655645213474,56.8034899972136,0</coordinates></LineString><LineString><coordinates>1.72927222906125,52.4688256361003,0 2.33337336361034,54.2666999125453,0 3.39538433002182,56.2782992370218,0 3.20993524264569,56.5491941087813,0 3.04655645213474,56.8034899972136,0 2.84733784326307,57.1114220294508,0 2.68513092692198,58.9228389586116,0 5.52448438424735,59.2792687377747,0</coordinates></LineString></MultiGeometry>","1,751 km",Jul-99,1999,Tampnet,http://www.tampnet.com/
tannat,1860,"[{""landing_point_id"":5963,""latlon"":""-34.900364,-54.950187"",""name"":""Maldonado, Uruguay""},{""landing_point_id"":3411,""latlon"":""-23.961795,-46.328072"",""name"":""Santos, Brazil""}]",Tannat,#b3b5b7,,,,"<MultiGeometry><LineString><coordinates>-46.3280667735439,-23.961845467703,0 -42.9806570355054,-27.8010256458285,0 -50.1423218839898,-36.4284619949826,0 -54.9420743431751,-34.9225621388696,0</coordinates></LineString></MultiGeometry>","2,000 km",Q4 2017,2017,"Google,  Antel Uruguay",
tasman-global-access-tga-cable,1750,"[{""landing_point_id"":5778,""latlon"":""-33.737377,151.245027"",""name"":""Oxford Falls, Australia""},{""landing_point_id"":15884,""latlon"":""-37.801437,174.871774"",""name"":""Raglan, New Zealand""}]",Tasman Global Access (TGA) Cable,#b3b5b7,,,,"<MultiGeometry><LineString><coordinates>174.871825354502,-37.8013819587597,0 173.865380754977,-37.516880156284,0 151.822622932773,-34.7232646872896,0 151.245084279407,-33.7371225312317,0</coordinates></LineString></MultiGeometry>","2,300 km",16-Aug,2016,"Spark New Zealand,  Vodafone,  Telstra",
tata-tgn-atlantic,1149,"[{""landing_point_id"":5745,""latlon"":""51.222251,-2.975017"",""name"":""Highbridge, United Kingdom""},{""landing_point_id"":3822,""latlon"":""40.152920,-74.062873"",""name"":""Wall Township, New Jersey, United States""}]",Tata TGN-Atlantic,#6c70b5,,,,"<MultiGeometry><LineString><coordinates>-2.97487482910183,51.2224464277729,0 -3.9283409505325,51.2976446499722,0 -4.27697351605792,51.2186236493972,0 -4.55187566506466,51.1199168363034,0 -10.8383946491356,48.6534886369501,0 -20.023739704651,46.7166970992569,0 -56.9968580437971,39.4063217420487,0 -74.0628615790801,40.1528306226931,0</coordinates></LineString><LineString><coordinates>-2.97487482910183,51.2224464277729,0 -3.95334093282228,51.4233208691792,0 -20.023739704651,48.0850563981658,0 -57.0494458971684,40.9389697927214,0 -74.0628615790801,40.1528306226931,0</coordinates></LineString></MultiGeometry>","13,000 km",1-Jun,2001,Tata Communications,http://www.tatacommunications.com
tata-tgn-gulf,1631,"[{""landing_point_id"":7729,""latlon"":""26.286130,50.214216"",""name"":""Al Khobar, Saudi Arabia""},{""landing_point_id"":10682,""latlon"":""25.294333,51.519391"",""name"":""Al-Kheesa, Qatar""},{""landing_point_id"":10683,""latlon"":""26.229001,50.575837"",""name"":""Amwaj Island, Bahrain""},{""landing_point_id"":3270,""latlon"":""25.269334,55.308452"",""name"":""Dubai, United Arab Emirates""},{""landing_point_id"":5962,""latlon"":""25.121677,56.333744"",""name"":""Fujairah, United Arab Emirates""},{""landing_point_id"":10684,""latlon"":""23.615135,58.591067"",""name"":""Qalhat, Oman""}]",Tata TGN-Gulf,#4fc1af,,,,"<MultiGeometry><LineString><coordinates>63.3880176119275,15.7470706217642,0 61.3526674912886,23.2573329324752,0 58.8545247297464,24.1962156446824,0 57.2520844586802,24.7535857535566,0 56.8550144274683,25.5664191903014,0 56.5395849634215,26.5632992810424,0 56.0959329339587,26.5632992810424,0 55.257456965443,26.0536378205639,0 53.8040400263072,26.121172501491,0 52.6993533088776,26.6938095768596,0 51.8864632597365,27.1266908248062,0 51.0494521339331,27.6005769188911,0 50.2141988193844,26.2853729777273,0</coordinates></LineString><LineString><coordinates>55.3085311480115,25.2693513134588,0 55.257456965443,26.0536378205639,0</coordinates></LineString><LineString><coordinates>56.3337257342541,25.121693117297,0 56.8550144274683,25.5664191903014,0</coordinates></LineString><LineString><coordinates>58.5911460100764,23.6151044418996,0 58.8545247297464,24.1962156446824,0</coordinates></LineString><LineString><coordinates>50.5760149693204,26.2294972211281,0 51.8864632597365,27.1266908248062,0</coordinates></LineString><LineString><coordinates>51.5192760198554,25.2946057913738,0 52.6993533088776,26.6938095768596,0</coordinates></LineString></MultiGeometry>","4,031 km",12-Feb,2012,Tata Communications,http://www.tatacommunications.com
tata-tgn-intra-asia-tgn-ia,1534,"[{""landing_point_id"":8541,""latlon"":""18.409376,121.513987"",""name"":""Ballesteros, Philippines""},{""landing_point_id"":5940,""latlon"":""1.389071,103.987042"",""name"":""Changi North, Singapore""},{""landing_point_id"":5853,""latlon"":""22.249413,114.184010"",""name"":""Deep Water Bay, Hong Kong""},{""landing_point_id"":6013,""latlon"":""10.341899,107.079228"",""name"":""Vung Tau, Vietnam""}]",Tata TGN-Intra Asia (TGN-IA),#38bced,,,,"<MultiGeometry><LineString><coordinates>120.67860202674,19.164375060888,0 121.513074091842,18.4183027280183,0</coordinates></LineString><LineString><coordinates>107.079197598186,10.3421342794769,0 115.154484846326,9.37172603761274,0</coordinates></LineString><LineString><coordinates>114.183977721343,22.2496201218328,0 118.060928099875,19.9884186508392,0 121.541296728099,19.4496224381848,0</coordinates></LineString><LineString><coordinates>141.476145887315,23.305593928985,0 129.610529293029,21.6794986533636,0 125.468930664476,18.8465664225168,0 121.26727348472,19.4980510690337,0 118.328310722958,17.8254219077916,0 118.013271883635,15.4532315885606,0 117.269131785791,11.7490359111633,0 115.154484846326,9.37172603761274,0</coordinates></LineString><LineString><coordinates>115.154484846326,9.37172603761274,0 110.63583570363,4.24107459969409,0 104.367676081553,1.31046557534865,0</coordinates></LineString><LineString><coordinates>104.367676081553,1.31046557534865,0 104.1826176189,1.2763922526808,0</coordinates></LineString><LineString><coordinates>104.1826176189,1.2763922526808,0 103.987012288719,1.38944749170165,0</coordinates></LineString></MultiGeometry>","6,700 km",9-Mar,2009,Tata Communications,http://www.tatacommunications.com
tata-tgn-pacific,1155,"[{""landing_point_id"":5894,""latlon"":""35.062395,140.061048"",""name"":""Emi, Japan""},{""landing_point_id"":3649,""latlon"":""45.824792,-123.811189"",""name"":""Hillsboro, Oregon, United States""},{""landing_point_id"":3678,""latlon"":""34.053411,-118.245372"",""name"":""Los Angeles, California, United States""},{""landing_point_id"":5973,""latlon"":""13.464652,144.694640"",""name"":""Piti, Guam""},{""landing_point_id"":5893,""latlon"":""34.769036,137.391518"",""name"":""Toyohashi, Japan""}]",Tata TGN-Pacific,#f37380,,,,"<MultiGeometry><LineString><coordinates>-179.999944735381,42.8376649893722,0 -139.250217743495,42.8376649893722,0 -123.811166180664,45.8252928178853,0 -127.972979638647,44.7827869523058,0 -129.057060901923,41.2085638046243,0 -123.692123296245,33.4468504906355,0 -118.245349811041,34.0533944197417,0</coordinates></LineString><LineString><coordinates>-123.811166180664,45.8252928178853,0 -139.250217743495,44.9465524480706,0 -179.999944735381,44.9465524480706,0</coordinates></LineString><LineString><coordinates>179.999946721693,44.9569191717648,0 157.219298797218,44.9465524480706,0 142.499192037579,35.5563081255871,0 140.061107827241,35.0623022546416,0</coordinates></LineString><LineString><coordinates>179.999946721693,42.8376649893722,0 157.236876909765,42.8354450511926,0 140.045092213587,33.1937190884976,0 137.391578468361,34.7691389150833,0 141.476145887315,23.305593928985,0 144.694698294762,13.464777824933,0</coordinates></LineString></MultiGeometry>","22,300 km",2-Dec,2002,Tata Communications,http://www.tatacommunications.com
tata-tgn-tata-indicom,1252,"[{""landing_point_id"":5940,""latlon"":""1.389071,103.987042"",""name"":""Changi North, Singapore""},{""landing_point_id"":4191,""latlon"":""13.063480,80.243108"",""name"":""Chennai, India""}]",Tata TGN-Tata Indicom,#0982c5,,,,"<MultiGeometry><LineString><coordinates>80.2429861404597,13.0638540151191,0 82.7839023092009,10.6959489509485,0 90.6747170317737,9.97484022064983,0 102.959571610317,1.40174852044978,0 103.919727180134,1.17221690974701,0</coordinates></LineString><LineString><coordinates>103.919727180134,1.17221690974701,0 103.987012288719,1.38944749170165,0</coordinates></LineString></MultiGeometry>","3,175 km",4-Nov,2004,Tata Communications,http://www.tatacommunications.com
tata-tgn-western-europe,1173,"[{""landing_point_id"":3067,""latlon"":""43.268348,-2.946159"",""name"":""Bilbao, Spain""},{""landing_point_id"":5745,""latlon"":""51.222251,-2.975017"",""name"":""Highbridge, United Kingdom""},{""landing_point_id"":9058,""latlon"":""38.642276,-9.107387"",""name"":""Seixal, Portugal""}]",Tata TGN-Western Europe,#f89635,,,,"<MultiGeometry><LineString><coordinates>-2.94919125354632,43.2742190006118,0 -6.47345633504888,50.0320172212818,0 -4.55187566506466,51.0847490275078,0 -4.33586019309204,51.2298770005277,0 -3.94523546981426,51.3188282545657,0 -2.97487482910183,51.2224464277729,0 -3.95334093282228,51.3699155540043,0 -11.5238433823073,49.4519021012564,0 -11.5238433823073,38.8864751650898,0 -10.5892737318652,38.3944904236412,0 -9.10743884411095,38.6426593066653,0</coordinates></LineString></MultiGeometry>","3,578 km",2-Jun,2002,Tata Communications,http://www.tatacommunications.com
telstra-endeavour,1526,"[{""landing_point_id"":5754,""latlon"":""21.425683,-158.151700"",""name"":""Keawaula, Hawaii, United States""},{""landing_point_id"":5779,""latlon"":""-33.882103,151.228621"",""name"":""Paddington, Australia""}]",Telstra Endeavour,#ffd633,,,,"<MultiGeometry><LineString><coordinates>151.228482728668,-33.8820415040515,0 179.999946721693,-20.8317518204854,0</coordinates></LineString><LineString><coordinates>-179.999944735381,-20.8455333029441,0 -158.15171802537,21.4260887795347,0</coordinates></LineString></MultiGeometry>","9,125 km",8-Sep,2008,Telstra,http://www.telstrawholesale.com
te-northtgn-eurasiaseacomalexandros,1573,"[{""landing_point_id"":9485,""latlon"":""31.071870,29.702507"",""name"":""Abu Talat, Egypt""},{""landing_point_id"":3210,""latlon"":""43.293153,5.372636"",""name"":""Marseille, France""},{""landing_point_id"":5812,""latlon"":""34.828509,33.603579"",""name"":""Pentaskhinos, Cyprus""}]",TE North/TGN-Eurasia/SEACOM/Alexandros,#91a34b,,,,"<MultiGeometry><LineString><coordinates>26.2816962421437,33.8966085956934,0 32.2761255893837,33.0252120271026,0 33.6105973002814,34.8272781379033,0</coordinates></LineString><LineString><coordinates>5.37253136689231,43.2936266517659,0 8.44118153678172,37.5530207629012,0 11.4279958271445,37.5352118492998,0 13.6947910963254,35.7295545760428,0 26.2816962421437,33.8966085956934,0 29.700932101175,31.0722669535546,0</coordinates></LineString></MultiGeometry>","3,634 km",11-Jul,2011,"Telecom Egypt,  Cyta,  SEACOM,  Tata Communications",http://www.telecomegypt.com.eg
terra-sw,1693,"[{""landing_point_id"":15031,""latlon"":""59.949200,-154.858831"",""name"":""Fish Camp, Alaska, United States""},{""landing_point_id"":8392,""latlon"":""59.646368,-151.544282"",""name"":""Homer, Alaska, United States""},{""landing_point_id"":15033,""latlon"":""59.327813,-155.894719"",""name"":""Igiugig, Alaska, United States""},{""landing_point_id"":15027,""latlon"":""59.754766,-154.906096"",""name"":""Illiamna, Alaska, United States""},{""landing_point_id"":15028,""latlon"":""59.442169,-154.752727"",""name"":""Kokhanok, Alaska, United States""},{""landing_point_id"":15029,""latlon"":""59.718145,-154.899749"",""name"":""Newhalem, Alaska, United States""},{""landing_point_id"":15030,""latlon"":""59.972637,-154.847698"",""name"":""Nondalton, Alaska, United States""},{""landing_point_id"":15025,""latlon"":""59.787188,-154.106097"",""name"":""Pedro Bay, Alaska, United States""},{""landing_point_id"":15026,""latlon"":""59.776055,-153.880462"",""name"":""Pile Bay, Alaska, United States""},{""landing_point_id"":15032,""latlon"":""60.200372,-154.336907"",""name"":""Port Alwsorth, Alaska, United States""},{""landing_point_id"":15024,""latlon"":""59.682403,-153.632122"",""name"":""Williamsport, Alaska, United States""}]",TERRA SW,#f37380,,,,"<MultiGeometry><LineString><coordinates>-154.899767204083,59.7181203978054,0 -154.876378548776,59.6954360464443,0 -154.94356600118,59.6330920230378,0 -155.045128429232,59.5975277593158,0 -155.793565399033,59.4008527173708,0 -155.894737202362,59.3277752201157,0 -155.776377911208,59.3873289566199,0 -155.264952492257,59.4623623820752,0 -154.793566107442,59.4699781204739,0 -154.752745823859,59.4421860276037,0</coordinates></LineString><LineString><coordinates>-154.846691069807,59.7080485715488,0 -154.792003608548,59.5278710020224,0 -154.752745823859,59.4421860276037,0</coordinates></LineString><LineString><coordinates>-154.858849264319,59.9491815477383,0 -154.847716459706,59.9726222832137,0 -154.708116949225,60.0603226048559,0 -154.558117055486,60.1288758271985,0 -154.517638568536,60.1419810869981,0 -154.429503865347,60.179153113445,0 -154.390441393019,60.1946897279739,0 -154.33692580593,60.2003684672786,0</coordinates></LineString><LineString><coordinates>-153.88048081678,59.776103635101,0 -153.956066700734,59.7639593500924,0 -154.035754144283,59.734046901352,0 -154.123254082297,59.7119890112675,0 -154.24512899596,59.7017429029421,0 -154.392003891912,59.6978012568463,0 -154.647374804755,59.653598438672,0 -154.695128677176,59.6180805927857,0 -154.754503635114,59.5215314208801,0 -154.752745823859,59.4421860276037,0</coordinates></LineString><LineString><coordinates>-154.846691069807,59.7080485715488,0 -154.906114855836,59.7547129657246,0</coordinates></LineString><LineString><coordinates>-153.88048081678,59.776103635101,0 -153.954504201841,59.7718265973543,0 -154.043566638748,59.7568772425627,0 -154.093566603328,59.7671064714375,0 -154.106115422563,59.7872115404841,0 -154.120129084511,59.7663197189073,0 -154.168664206378,59.7473828959073,0 -154.31544144615,59.7608119321388,0 -154.473253834354,59.7553032369499,0 -154.646447071037,59.7068909792211,0 -154.821691087518,59.7167169265503,0 -154.906114855836,59.7547129657246,0</coordinates></LineString><LineString><coordinates>-151.544252003036,59.6465669643075,0 -152.042591493758,59.5608126658309,0 -153.310510517427,59.5376256847738,0 -153.545129491846,59.6180805927857,0 -153.591076724921,59.6355356831785,0 -153.632141148956,59.6823751065469,0</coordinates></LineString></MultiGeometry>",n.a.,2012,2012,GCI,http://www.alaskaunited.com
